name,description,category,price
750ml Double-Wall Vacuum-Insulated Wine Growlers w/Flat Top,"The double-wall vacuum-insulated walls give you a worry-free mind knowing your favorite wines are kept at their optimal temperature. Made of lightweight 18/8 food-grade stainless steel that is non-leaching and will not retain taste or odor. The double-wall technology prevents condensation on the outside of the growler so you don’t have to worry about ruining your attire while carrying it by your side.

The wine growler is the ideal traveling companion for transporting your favorite wine or spritzer. With its sleek and narrow design, you can enjoy your elegant social event knowing your growler won't be an eyesore on the beverage table. Holding a full bottle of wine it is ideal to use for sharing with the bridal party or hosting a springtime brunch. The vacuum-insulated walls ensure your wine is kept at its optimal temperature amid each pour. The double-wall technology prevents sweating on the outside of the bottle, so you don't have to worry about it leaving a water ring on your table.",Faire,13.95
AIN'T NO MAMA,"Greeting: ""AIN'T NO MAMA LIKE THE ONE I GOT"" (Blank Inside)
Printing: Orange Gloss Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,7.45
AMAZING MAN & FATHER,"Greeting: ""You're an Amazing Man and One Helluva Father"" (Blank Inside)
Printing: Gold Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.95
Bamboo Travel Mugs,,Faire,18.75
Be a Nice Human Vinyl Sticker,"If only humans could be as amazing as our dogs. This sticker is a good reminder to all of us...just be nice!
Our stickers are printed on a premium vinyl here is the USA. Each one is coated with a protective laminate that makes them durable & resistant to fading, scratching, tearing, and moisture.
Sticker measures 2 1/2"" wide x 2 1/2"" tall",Faire,3.00
"Be Kind, It's Free Positivity Lettering Sticker","Be Kind, It's Free Positivity Lettering Sticker. Great to decorate water bottles, laptops, phone cases, coolers, car windows, journals, notebooks, planners, bikes, skateboards, kayaks, and more. This positivity sticker can be found in our Positivity Collection, and makes a wonderful gift or positive reinforcement for yourself!


Details:

•3 x 1.87 inches
• Made in the U.S.A.
• High quality and durable vinyl, indoor and outdoor use
• Waterproof and weatherproof


We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,3.00
Blueberry Banana Nut Mix 4.5 oz.,"Dried cranberries and blueberries pair perfectly with crunchy banana chips for a burst of fruity flavor balanced with roasted cashews, blanched peanuts, and almonds. Fell transported far away to the sands of an island with a light breeze and plentiful sunshine in every bite.

Shelf life: 6 months
Ingredients: Dried Cranberries (Cranberries, Sugar, Sunflower Oil), Almonds, Peanuts, Cashews, Dried Blueberries (Blueberries, Sugar, Sunflower Oil), Banana Chips (Bananas, Vegetable Oil, Sugar, Natural Banana Flavor), Peanut Oil, Salt",Faire,2.50
Camper 12oz. Mug,"Our Custom printed 12 ounce enamel mugs our great for souvenirs, special events or the kitchen/dining room. These cups are great additions to gift baskets. Available in white with black lip, yellow, red, blue or pink. Please specify color when ordering 8 cup minimum order. Discounts available for volume orders. All mugs are designed, printed and shipped from the USA.",Faire,16.00
CAP & GOWN,"""CAP & GOWN IT'S ABOUT TO GO DOWN!""
Printing: BLACK METALLIC FOIL
Card size: 5.5"" x 4.25"", Folded, BLANK INSIDE WITH COORDINATING ENVELOPE",Faire,6.00
Cherry Thank you Card,,Faire,4.50
Chocolate Bar Bourbon Pecan Pie,,Faire,3.64
Chocolate Bar Mint Choc Chip 2.25oz,"Dark Chocolate with Mint creme center.

Shelf life- 5 months guaranteed from receipt of goods.",Faire,3.64
Chocolate Bar Peanut Butter Cup,,Faire,3.64
Chocolate Bar Sea Side Caramel,,Faire,3.64
Chocolate Pretzels,,Faire,2.95
Choose Kindness Multicolor Lettering Sticker,"This aesthetic sticker will surely add character to your phone, laptop, water bottle, and much more!
Details:
•3.3 x 1.68 inches
• Printed and shipped with care from the U.S.A.
• High quality and durable vinyl, indoor and outdoor use
• Waterproof and weatherproof We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,3.00
Christmas Marble Holiday Card,"Greeting: ""Merry Christmas"" (Blank Inside).
Printing: Full Color with Gold Foil.
Card size: 5.5"" x 4.25"", Folded.
Paper: Natural White Stock with coordinating A2 envelope.
(Boxed set of 6).",Faire,20.00
Clawhammer Certified Organic Mints - Strong Peppermint,"Our Clawhammer Organic Mints will satisfy the most discerning mint lover.  They're made with organic cane sugar and the highest quality natural flavors to deliver intense taste and breath freshening with no artificial colors, flavors or sweeteners.  All are USDA and Canada Organic certified.  Available in four great flavors:

As seen here:  Strong Peppermint",Faire,variable
Clawhammer Certified Organic Mints - Strong Peppermint,,Faire,2.99
Coffee & Plants Sticker,"A sticker for when someone asks what your love languages are 😉

This Coffee and Plants Sticker is a necessary addition to your laptop, water bottle, or journal. Made for those who love their morning latte and can always talk themselves into just *one more* leafy friend

• Size: 4.22 x 1""
• Durable weatherproof vinyl sticker

Note: Colors may vary slightly from device screen to printed item.",Faire,4.00
Coffee Date Greeting Card,"Give the gift of your time with this coffee date greeting card. Use it as an invitation to catch up with a friend; old or new.
It's a way to say thank you for a kind gesture, say congratulations on a great milestone, or celebrate life's moments - birthdays, graduations, a new career, or just because.
• Four spacious lines for your personal message
• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,4.50
Coffee is my Love Language Sticker,"Great to decorate water bottles, laptops, phone cases, coolers, car windows, journals, notebooks, planners, bikes, skateboards, kayaks, and more.
Design: Anna Alsup.
Instagram: @anna_alsup
2.7 x 4 inches.
High quality and durable vinyl, indoor and outdoor use.
Waterproof and weatherproof.
We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,variable
Coffee is my Love Language Sticker,,Faire,3.00
Coffee is My Love Language Sticker,"• Size: 3 x 1.1""
• Durable weatherproof vinyl sticker

Note: Colors may vary slightly from device screen to printed item.",Faire,3.00
Coffee Pray Repeat,"""This sticker makes a great gift to any person who holds a strong faith! This sticker is part of our Faith Sticker Collection.
Details:2.74 x 3 inches printed and shipped with care from the U.S.A. High quality and durable vinyl, indoor and outdoor use waterproof and weatherproof We are partnered with ActiveMinds.Org to help spread mental health awareness.
""",Faire,variable
Coffee Pray Repeat,,Faire,3.00
Coffee Teach Repeat,"Teachers can't mold the minds of the future without coffee right? This vinyl sticker is a part of our teacher stickers collection.
Details: 3 x 2.15 inches printed and shipped with care from the U.S.A. High quality and durable vinyl, indoor and outdoor use, waterproof and weatherproof we are partnered with activeminds.org to help spread mental health awareness.",Faire,variable
Coffee Teach Repeat,,Faire,3.00
Cookie Dough Milk Chocolate Candy Bar  2.25oz,"Just like baking fresh cookies, without the mess! This sweet milk chocolate Cookie Dough candy bar is loaded with a delicious cookie dough filling.
Size. 2.25 oz.",Faire,3.64
Cool chick card,,Faire,4.50
Country Mix,,Faire,2.65
Custom City State Sticker,"Custom City State Sticker, show some hometown love! This is a local best seller. Each sticker is approx 3inches and comes individually packaged, ready for display.
Individually Packaged
Weatherproof & UV Resistant
Free Graphic Design-Work directly with our designer
Stickers will have a UV layer that is 3.2mil thick
Fade-resistant, scratch-resistant
Peel here tab
3M backer, water-resistant adhesive",Faire,4.50
Custom company logo coffee beer glass can,"Great looking glass perfect for your coffee shop, available to fully customize for your shop or brand! Please send logo or image via message as an attachment- if too large email Hello@nreales.com",Faire,26.00
Custom State & City Mug,"☁️ Oversized 15-ounce size
☁️ Microwave safe; dishwasher safe
☁️ Ceramic
☁️ White and glossy
☁️ Mug artwork is inkjet printed, using special dye-sublimation inks. The print becomes a part of the mug!
☁️ Send Me a Dream Mugs are Made to Order",Faire,variable
Custom State & City Mug,,Faire,20.00
Daily Schedule Notepad,"55 tear-off, sturdy pages.
8.5 x 11 inches.
Undated; fill in each week accordingly.
Cream, birch paper with black ink .
Vintage-inspired typography.
Professionally printed and bound in Omaha, NE.",Faire,15.00
Dog years mug,,Faire,12.00
Dogs People Sticker,"Show your support for man's best friend with this dogs > people sticker!
Details:
3.15"" x 1"".
Water and weather resistant.
High quality and durable.
High-quality vinyl stickers - Our stickers are perfect as water bottle stickers, skateboard stickers, laptop stickers and more.",Faire,3.00
Each Day is a Fresh Start Sticker,"• Size: 3 x 2.46""
• Durable weatherproof vinyl sticker

Note: Colors may vary slightly from device screen to printed item.",Faire,3.00
Everyday Gummy Bears 7oz,"Bear gummies gift bag 7oz 15/cs 
Sweet & bright and oh so nice! You'll love our NEW everyday Gummi Bears.",Faire,4.80
Everything’s ok card,,Faire,4.50
"Ew, David Sweater Sticker","Great to decorate water bottles, laptops, phone cases, coolers, car windows, journals, notebooks, planners, bikes, skateboards, kayaks, and more.
Illustration by @kayla_writesstuff
2.8 x 3 inches.
High quality and durable vinyl, indoor and outdoor use.
Waterproof and weatherproof.
We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,3.00
Extra Birthday,"Greeting: ""Have a Very Extra Birthday!"" (Blank Inside)
Printing: Silver Hologram Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
"Father’s Day Doesn’t Suck, Mom/Dad Card","Greeting: ""Hope Your Father's Day Doesn't Suck"" (Blank Inside).
Printing: Black Foil.
Card size: 5.5"" x 4.25"", Folded.
Paper: thick colored stock with coordinating A2 envelope.",Faire,6.00
Foragers Mix (Raw) 5 oz.,"An energizing snack made for adventure- this mix has it all! Juicy raisins, crunchy sunflower seeds, pumpkin seeds, cashews, and almonds all blend together into a mix that will get you to the top of the mountain! Enjoy this roasted, un-salted mix of nuts and seeds on the go, at home, or where-ever life takes you!
Shelf life: 6 months
Ingredients: Raisins (Raisins, Sunflower Oil), Cashews, Almonds, Sunflower Seeds, Pumpkin Seeds, Peanut Oil.",Faire,3.70
Frother for Perfect Latte Prep,"This nifty re-chargable milk frother is hands down our favorite way to prep Clevr! Why? Let us count the ways:


* No clean up—just rinse under running water after use.
* Amazing texture—makes a smooth, creamy latte + perfect microfoam, every time.
* Mixes fast—zero to latte in 10 seconds.
* Adventure ready—the perfect cup, wherever you are! Camping, road-trips, travel, or at your desk.
* No batteries needed—USB re-chargable for the win!
To prepare: add your Clevr latte blend and hot water to a mug. Froth for 10 seconds, or until latte is smooth. Sip and smile!

Prep Tips:

* Make sure your cup is big enough so the latte has room to froth without spilling over! Around 1/2 full should be perfect.
* If using a smaller cup, just froth with half your water, then add the remaining water.
* For extra fancy prep: we sometimes like to froth our lattes in a barista jug, then pour into a mug. Totally unnecessary, but makes you feel posh.",Faire,17.98
Galentine's Day Greeting Card | Valentine's Day,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
Give Yourself Grace Sticker,"• Size: 4.34 x 1""
• Durable weatherproof vinyl sticker

Note: Colors may vary slightly from device screen to printed item.",Faire,4.00
Gls Bottle - Wander,"F3740.
Bamboo Glass Silicone. Hand Wash Only.",Faire,variable
Gls Bottle - Wander,,Faire,20.00
Gobble Wobble,"Greeting: ""Gobble til ya Wobble"" (Blank Inside).
Printing: Full Color with Copper Foil
Card size: 5.5"" x 4.25"", Folded.
Paper: Natural White Stock with coordinating A2 envelope.",Faire,5.50
Gonna Be OK,"Greeting: ""Everything's Gonna Be OK"" (Blank Inside).
Printing: White Pigment Foil
Card size: 4.25"" x 5.5"" Folded
Paper: thick colored stock with coordinating A2 envelope.",Faire,5.50
Good News I'm Still Not Bored of You Greeting Card,"This funny greeting card gets right to the point. Perfect for an anniversary, Valentine's Day or just because. Lots of room to write your own sentimental note inside.
• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,4.50
Gummi Bears 7 oz.,You won't be able to get enough of these bear-shaped gummies in 12 assorted fruity flavors. Transport yourself back to childhood with every juicy bite!,Faire,2.92
Handsome Devil Birthday,"Greeting: ""Happy Birthday you Handsome Devil"" (Blank Inside)
Printing: Silver Mirror Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
Happy Birthday Bestie,,Faire,4.50
HAPPY BIRTHDAY HONEY,"Greeting: ""Happy Birthday Honey"" (Blank Inside)
Printing: Gold Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,6.00
Happy Birthday Lady Card,"Greeting: ""Happy Birthday Lady"" (Blank Inside).
Printing: Red Pigment.
Card size: 5.5"" x 4.25"", Folded.
Paper: thick colored stock with coordinating A2 envelope.",Faire,5.00
Happy Valentine's Day Greeting Card,"Tell that special someone Happy Valentine’s Day with this greeting card. Your Valentine deserves to know how loved they are. Pair this card with a bouquet, a box of chocolates and a romantic dinner and your significant other will love it. Card is perfect for your husband, wife, boyfriend or girlfriend.

• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
Hey Birthday Girl Card,"Greeting: ""Hey Birthday Girl!"" (Blank Inside).
Printing: White pigment.
Card size: 5.5"" x 4.25"", Folded.
Paper: thick colored stock with coordinating A2 envelope.",Faire,5.00
I Choose You Greeting Card | Anniversary or Valentine's Day,"This card is perfect for the one you choose to love everyday.  Say I love you to your husband or wife by saying I choose you — and choose this thoughtful card for your person. A simple, elegant design lets the words be the focus of this intentional card.. Ideal for wedding, Valentine's Day, anniversary, or just because.

• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
I Just Really Love You Greeting Card,"Tell your husband, wife, boyfriend or girlfriend just how much you love them with the I Just Really Love You card. Perfect for Valentine's Day, a wedding anniversary or just because. The earthy terra cotta color is perfect for any recipient. A sweet and meaningful love card.
• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,4.50
I Love Louisiana Sticker,"This sticker is great for any person, family, or friend who loves the state of Louisiana!
Details: 3"" x 2.73"". Printed and shipped with care from the U.S.A. High quality and durable vinyl, indoor and outdoor use. Waterproof and weatherproof. We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,variable
I Love Louisiana Sticker,,Faire,3.00
I Love You More Than Tacos Greeting Card (Tan) | Funny Card,"Taco Tuesday, anyone? Whether margaritas and cheese dip are your weekly tradition or you’re a foodie, saying I love you more than tacos is a pretty big statement. We think this funny love card is best accompanied by a gift card to your favorite Mexican restaurant. A great anniversary card for your boyfriend or girlfriend.

• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
I’d hike that mug,,Faire,12.00
Iced Coffee To Go Cup Aesthetic Sticker,"This aesthetic sticker will surely add character to your phone, laptop, water bottle, and much more!
Details:
•1.98 x 3 inches
• Printed and shipped with care from the U.S.A.
• High quality and durable vinyl, indoor and outdoor use
• Waterproof and weatherproof We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,variable
Iced Coffee To Go Cup Aesthetic Sticker,,Faire,3.00
It's Better In Louisiana Candle,"Louisiana State Candle
Scent Profile:
Top: Amber.
Middle: Vanilla
Base: Sandalwood
Burn Time: 50 - 60 hours.

About our Candle:
8.oz Clear Glass Jar
White Metal Lid
Vegan & Non-Toxic
100% American Grown Soy Wax
100% Cotton Core Wick",Faire,variable
It's Better In Louisiana Candle,,Faire,23.75
Joy is on the Horizon Sticker,"• Size: 3.11"" x 4""
• Durable weatherproof vinyl sticker",Faire,4.00
"Keep Going, Keep Growing Floral Sticker","☁️ Ready to ship
☁️ Approximately 3 x 2.75 in, scratch resistant, glossy
☁️ Peel here tab
☁️ Laminated Glossy Vinyl Sticker
☁️ Individually Packaged
☁️ Durable vinyl, perfect for indoor use, ideal for flat surfaces
☁️ Water Resistant
☁️ Don't forget to clean the surface before applying the sticker
Stickers will ship separately from mugs",Faire,4.00
Kettle Cooked Chile Lime Peanuts 4.5 oz.,"Jumbo blanched runner peanuts are coated generously with flavorful chili spices with a hint of lime to create a mild and tangy snack. Roasted to perfection and packed with flavor, these kettle cooked peanuts deliver the right amount of crunchiness. Perfect for Taco Tuesday celebrations paired with a margarita!

Shelf life: 6 months
Ingredients: Peanuts, Chile Lime Seasoning (Dried Chiles, Salt, Lime Juice Powder [Maltodextrin, Lime Juice Solids], Citric Acid, Cellulose, Paprika, Spices, Garlic), Salt, De Arbol Chile Powder, Peanut Oil.",Faire,2.38
Latte Coffee Aesthetic Sticker,"This aesthetic sticker will surely add character to your phone, laptop, water bottle, and much more!
Details:
•3 x 2.17 inches
• Printed and shipped with care from the U.S.A.
• High quality and durable vinyl, indoor and outdoor use
• Waterproof and weatherproof We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,3.00
Leaf Thank You Foil Greeting Card,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper",Faire,6.00
Live Life in Full Bloom Spring Vinyl Floral Sticker,"Live Life in Full Bloom Spring Vinyl Floral Sticker
☁️ Ready to ship
☁️ Approximately 2.5x3.5
☁️ Glossy Vinyl Sticker
☁️ Individually Packaged
☁️ Durable vinyl, perfect for indoor use, ideal for flat surfaces
☁️ Not made for a dishwasher or microwave
☁️ Don't forget to clean the surface before applying the sticker
☁️ Designed and Printed in Illinois
Stickers will ship separately from mugs",Faire,4.00
Love your stupid face card,,Faire,4.50
Loving Mom,"Greeting: ""Mom, Thanks for Loving Me Even When I Make it Difficult"" (Blank Inside)
Printing: Rose Gold
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
Mason Jar Sweet Sours 13oz,"Sweet Sours Assorted flavors
13oz
6/case",Faire,8.90
Merry and Bright Christmas Greeting Card,"Wish your friends and family the merriest and brightest days with this rustic 'Merry and Bright' Christmas card.

""• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE""",Faire,5.00
Merry Christmas Card - BOX SET of 5,"• Blank on the inside, ready for your personal message
• Kraft envelope included
• Size: A2, 4.25 x 5.5 inches
• Sturdy, high-quality paper
• Individually packaged in a cello sleeve
• Professionally printed in Omaha, NE",Faire,18.00
Merry Christmas Greeting Card,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
Merry Little Christmas Greeting Card,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
Midnight Snack Milk Chocolate Candy Bar 2.25oz,"Pretzels, cookies, brittle, marshmallow and cereal—this Hammond's Chocolate Bar has it all. It is the ultimate midnight snack!
Size. 2.25 oz.",Faire,3.64
Mother Like No Other,"Greeting: ""You're A Mother Like No Other"" (Blank Inside)
Printing: Gilded Gold Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,6.00
Mountains with Sunglasses Hiking & Camping  Sticker,"This sticker is a perfect aesthetic to represent nature! Great for laptops, water bottles, and much more!
Details: 3.5 x 1.55 inches
Printed and shipped with care from the U.S.A.
High quality and durable vinyl, indoor and outdoor use
Waterproof and weatherproof
We are partnered with ActiveMinds.Org to help spread mental health awareness.",Faire,3.00
Natural Caramel Chocolate Popcorn,"Satisfy your popcorn cravings and your sweet tooth with Caramel Chocolate Popcorn. Scrumptious!
Size. 6 oz.",Faire,5.84
Natural Caramel Corn Popcorn,"Hammond's crave-worthy Caramel Corn is popped to perfection! One bag is never enough.
Size. 6 oz.",Faire,5.84
Natural Sea Side Caramel Milk Chocolate Candy Bar  2.25oz,"Creamy, salty caramel and sweet milk chocolate are the flavor heroes in this yummy Hammond's Chocolate Bar.
Size. 2.25 oz.",Faire,3.64
Need Coffee Sticker - Cup,"Details:
3"" x 2.71"".
Water and weather resistant.
High quality and durable.",Faire,variable
Need Coffee Sticker - Cup,,Faire,3.00
Oh Happy Day Card,,Faire,4.50
Olivia Ceramic Owl Mug,"This sweet, wise owl mug is sure to bring a smile to your face over morning coffee or a bedtime cup of tea. The dimensional design gives this mug a pleasant tactile effect, while the ergonomic handle makes it comfortable to hold.


Quantity: 1 mug

Materials: Ceramic with gold accents

Capacity: 16 oz. 

Details: 3D details, cute “Life’s a hoot” message inside

Care: Hand wash, do not microwave


Pinky Up tea is all about making loose leaf tea brewing easy and fun for everyone. With delicious dessert-inspired loose leaf teas, tea infuser mugs, cute teapots, electric kettles, tea strainers, and everything a tea-lover could dream of, our products are perfect for tea parties or brewing on the go. Complete with cute packaging, Pinky Up tea and teaware makes a beautiful gift or charming addition to any home.",Faire,17.50
One Hot Mama Card,,Faire,4.50
Peanut Butter Cup Dark Chocolate Candy Bar  2.25ozs,"Give in to the tempting combination of peanut butter and chocolate! This gourmet candy bar features decadent dark chocolate with tasty bits of peanut butter.
Size. 2.25 oz.",Faire,3.64
Pelican State Louisiana Sticker,"Pelican State Louisiana Sticker. Great to decorate water bottles, laptops, phone cases, coolers, car windows, journals, notebooks, planners, bikes, skateboards, kayaks, and more.
High quality and durable vinyl, indoor and outdoor use.
Waterproof and weatherproof.
We are partnered with ActiveMinds.Org to help spread mental health awareness.
Design: Anna Alsup.
Instagram: @anna_alsup
3 x 3 inches.",Faire,variable
Pelican State Louisiana Sticker,,Faire,3.00
